,eMolecules SKU,predicted pKas,"pKas in [3,11]","pKa count in [3,11]",pKas closer than 1 unit,canonical isomeric SMILES
77,100204175,"[-2.904, -1.381, 3.579, 9.861, 13.212]","[3.579, 9.861]",2.0,False,c1ccc2c(c1)/C(=C/Nc3ccc(cc3)S(=O)(=O)N)/C(=O)N2
78,151087294,"[3.308, 13.08]",[3.308],1.0,False,c1ccc(c(c1)Nc2c3c4c(sc3ncn2)CCCCC4)F
79,129303744,"[0.504, 4.206, 7.332, 10.604]","[4.206, 7.332, 10.604]",3.0,False,Cc1ccc(cc1C)N2CCN(CC2)CCCNC(=O)c3nc(no3)c4cncnc4
80,129303749,"[0.504, 2.549, 7.332, 10.604]","[7.332, 10.604]",2.0,False,Cc1ccc(c(c1)C)N2CCN(CC2)CCCNC(=O)c3nc(no3)c4cncnc4
81,166360262,"[0.035, 1.462, 8.328]",[8.328],1.0,False,CS(=O)(=O)c1ccc2c(c1)s/c(=N\C(=O)Cc3cccs3)/[nH]2
82,167042405,"[3.493, 13.503]",[3.493],1.0,False,c1cc(ccc1c2ccnc(n2)N)F
83,165944523,"[0.357, 2.226, 4.157, 9.093, 11.092, 14.458]","[4.157, 9.093]",2.0,False,c1cc(cc(c1)Nc2nc(cs2)c3ccc(cc3O)O)C(=O)O
84,100149453,[4.902],[4.902],1.0,False,c1cc(cc(c1)Cl)CSc2nnc(o2)c3ccncc3
85,150919376,"[0.174, 3.95, 11.155]",[3.95],1.0,False,c1ccc(c(c1)C(=O)Nc2cccc3c2nccc3)I
86,103540949,[7.967],[7.967],1.0,False,COc1ccc(cc1)c2c(c(c([nH]2)c3ccc(cc3)OC)C#N)C#N
87,163795159,"[-2.128, 3.928, 8.582, 13.427]","[3.928, 8.582]",2.0,False,CS(=O)(=O)CCNCc1ccc(o1)c2ccc3c(c2)c(ncn3)Nc4ccc(c(c4)Cl)OCc5cccc(c5)F
88,100076762,"[0.33, 2.513, 6.293, 13.94]",[6.293],1.0,False,Cc1cccnc1Nc2nc(cs2)c3ccc(c(c3)OC)OC
89,166766811,"[0.048, 2.088, 2.919, 9.216, 12.876]",[9.216],1.0,False,Cc1nc(cs1)c2cn[nH]c2c3ccc(cc3O)OC
90,103663838,[9.812],[9.812],1.0,False,COc1ccc(cc1OC)/C=C\2/C(=S)NC(=O)S2
91,150919393,"[-1.872, 2.176, 4.001, 10.328]","[4.001, 10.328]",2.0,False,c1cc2cccnc2c(c1)NC(=O)c3cc(cnc3)Br
92,167033642,"[-2.576, 4.714, 10.78]","[4.714, 10.78]",2.0,False,c1ccc(c(c1)C(=O)Nc2ccncc2)Br
93,155123949,"[3.13, 8.305]","[3.13, 8.305]",2.0,False,COc1cc(ccc1OCc2ccc(cc2)F)CNCc3ccncc3
94,146849006,"[-1.129, -0.174, 4.381]",[4.381],1.0,False,c1ccc(cc1)c2nc(cs2)C(=O)N3CCN(CC3)c4cc(ncn4)N5CCOCC5
95,96510192,"[0.133, 8.487, 15.652]",[8.487],1.0,False,c1ccc2c(c1)c(c[nH]2)C3=C(C(=O)NC3=O)N
96,166463937,"[-2.555, 9.078, 13.845]",[9.078],1.0,False,CN1CCC(CC1)NC(=O)c2cccc(c2)OC
97,154790133,"[4.705, 13.481]",[4.705],1.0,False,Cc1c(oc2c1c(ncn2)N)C
98,151905526,"[-0.985, -0.963, -0.332, 2.31, 3.375, 11.482, 13.072, 14.733]",[3.375],1.0,False,Cc1cc(no1)NC(=O)Nc2ccc(cc2)NC(=O)c3cccs3
99,103808255,"[2.174, 3.49, 5.213, 14.457]","[3.49, 5.213]",2.0,False,Cc1nnc2n1nc(s2)c3ccc(cc3)N
