,eMolecules ID,canonical isomeric SMILES,eMolecules SMILES,"pKas in [3,11]",XlogP
146,44160581,CC(C)(C)c1ccc(cc1)NC(=O)c2c(ncs2)CCc3ccncc3,O=C(c1scnc1CCc1ccncc1)Nc1ccc(cc1)C(C)(C)C,[5.689],4.278000354766846
147,594850,COc1cc2c(cc1OC)ncnc2Nc3cccc(c3)Cl,COc1cc2c(ncnc2cc1OC)Nc1cccc(c1)Cl,[4.267],2.9149999618530273
148,1859493,c1ccc2c(c1)c(ncn2)Nc3cccc(c3)Cl.Cl,Clc1cccc(c1)Nc1ncnc2c1cccc2.Cl,[4.05],3.8990001678466797
149,3192230,COc1ccc(cc1)CC(=O)Nc2nc3ccc(cc3s2)OC,COc1ccc(cc1)CC(=O)Nc1nc2c(s1)cc(cc2)OC,[9.2],3.397000312805176
150,1987313,COc1cc2c(cc1OC)ncnc2Nc3ccccc3,COc1cc2c(ncnc2cc1OC)Nc1ccccc1,[4.267],2.2990000247955322
151,2042282,c1cc(c(c(c1)F)C(=O)Nc2ccncc2)F,O=C(c1c(F)cccc1F)Nc1ccncc1,"[4.714, 10.538]",2.304999828338623
153,1129902,c1ccc(cc1)c2cc(c3c(c(sc3n2)C(=O)N)N)c4ccco4,NC(=O)c1sc2c(c1N)c(cc(n2)c1ccccc1)c1ccco1,"[3.289, 10.555]",2.814000129699707
154,688047,c1ccc(cc1)c2csc3c2c(ncn3)N4CCc5ccccc5C4,c1ccc(cc1)c1csc2c1c(ncn2)N1CCc2c(C1)cccc2,[3.271],4.785000324249268
155,5809584,c1ccc(cc1)c2cc(c(s2)C(=O)N)NS(=O)(=O)c3ccc(cc3)F,Fc1ccc(cc1)S(=O)(=O)Nc1cc(sc1C(=O)N)c1ccccc1,[6.106],3.2139997482299805
156,1171893,c1ccc(cc1)CC(=O)Nc2nc3ccccc3s2,O=C(Nc1nc2c(s1)cccc2)Cc1ccccc1,[9.045],3.685000419616699
157,3605943,c1cc(c(c(c1)Cl)NC(=O)c2ccncc2)Cl,O=C(c1ccncc1)Nc1c(Cl)cccc1Cl,"[3.163, 9.847]",2.927000045776367
158,3064762,c1ccc(cc1)C(=O)Nc2ccc(cc2)Oc3c4c5c(sc4ncn3)CCCC5,O=C(c1ccccc1)Nc1ccc(cc1)Oc1ncnc2c1c1CCCCc1s2,[3.199],4.7179999351501465
159,45809595,CC(C)c1ccc(cc1)/C=C\2/c3ccccc3NC2=O,O=C1Nc2c(/C/1=C/c1ccc(cc1)C(C)C)cccc2,[3.158],4.2330002784729
160,3647680,c1ccc(cc1)Oc2ccc(cc2)C(=O)NCc3ccccn3,O=C(c1ccc(cc1)Oc1ccccc1)NCc1ccccn1,[5.123],3.181000232696533
161,30151586,Cc1ccc(cc1S(=O)(=O)N)Nc2nccc(n2)N(C)c3ccc4c(n(nc4c3)C)C,CN(c1ccc2c(c1)nn(c2C)C)c1ccnc(n1)Nc1ccc(c(c1)S(=O)(=O)N)C,"[5.135, 7.5, 10.189]",1.6569998264312744
162,2724817,c1ccc2c(c1)N(c3cc(ccc3S2)C(F)(F)F)CCCN4CCN(CC4)CCO.Cl.Cl,OCCN1CCN(CC1)CCCN1c2ccccc2Sc2c1cc(cc2)C(F)(F)F.Cl.Cl,"[6.069, 8.134]",5.13599967956543
163,1377874,Cc1ccc(cc1)S(=O)(=O)Nc2cccc(c2)C(F)(F)F,Cc1ccc(cc1)S(=O)(=O)Nc1cccc(c1)C(F)(F)F,[7.903],3.747999668121338
164,4934119,COC(=O)c1ccc(cc1)Nc2c3c([nH]cn3)ncn2,COC(=O)c1ccc(cc1)Nc1ncnc2c1nc[nH]2,"[3.923, 9.999]",0.8499998450279236
165,1536105,c1ccc(c(c1)c2c(=O)[nH]c3ccccc3n2)NC(=O)c4cccs4,O=C(c1cccs1)Nc1ccccc1c1nc2ccccc2[nH]c1=O,[8.46],3.7059996128082275
166,17837989,c1ccc(cc1)/C=C/C(=O)Nc2ccccc2F,O=C(Nc1ccccc1F)/C=C/c1ccccc1,[4.33],3.759000301361084
167,508324,COc1cc(c(cc1OC)Br)C(=O)O,COc1cc(C(=O)O)c(cc1OC)Br,[3.005],1.7000000476837158
168,11880412,c1ccc(cc1)CC(=O)NCC(=O)Nc2nc3ccccc3s2,O=C(Cc1ccccc1)NCC(=O)Nc1nc2c(s1)cccc2,[8.746],2.80400013923645
169,1406839,c1cc(cc(c1)C(F)(F)F)Cc2cnc(s2)NC(=O)c3cccs3,O=C(c1cccs1)Nc1ncc(s1)Cc1cccc(c1)C(F)(F)F,[9.839],4.526000499725342
170,1411040,COc1ccc(cc1)Nc2c3ccccc3c(nn2)c4ccc(cc4)C(=O)N,COc1ccc(cc1)Nc1nnc(c2c1cccc2)c1ccc(cc1)C(=O)N,[5.689],2.8940000534057617
171,901601,Cc1ccc(cc1)c2cc(nn2c3ccc(cc3)S(=O)(=O)N)C(F)(F)F,Cc1ccc(cc1)c1cc(nn1c1ccc(cc1)S(=O)(=O)N)C(F)(F)F,[9.703],3.4699997901916504
172,2010194,c1ccc(cc1)c2c3c(ncnc3oc2c4ccccc4)NCCN5CCOCC5,O1CCN(CC1)CCNc1ncnc2c1c(c1ccccc1)c(o2)c1ccccc1,"[3.523, 7.492]",3.253999948501587
173,5428718,c1ccc(c(c1)C(=O)Nc2nnc(s2)SCc3ccc(cc3)Br)Cl,Brc1ccc(cc1)CSc1nnc(s1)NC(=O)c1ccccc1Cl,[6.525],5.900000095367432
174,207007221,c1ccc(c(c1)/C=C/2\C(=O)NC(=O)S2)F,O=C1NC(=O)/C(=C\c2ccccc2F)/S1,[8.05],2.5950000286102295
175,1716329,c1ccc(c(c1)NC(=O)c2ccc(o2)Br)N3CCCCC3,Brc1ccc(o1)C(=O)Nc1ccccc1N1CCCCC1,[5.346],3.9770002365112305
176,43822335,COc1ccccc1CC(=O)Nc2nc3ccc(cc3s2)F,COc1ccccc1CC(=O)Nc1nc2c(s1)cc(cc2)F,[8.945],3.6760001182556152
177,703997,CCOC(=O)c1c(c2cc(ccc2[nH]c1=O)Cl)c3ccccc3,CCOC(=O)c1c(=O)[nH]c2c(c1c1ccccc1)cc(cc2)Cl,[8.549],4.517000198364258
178,5428734,c1cc(ccc1CSc2nnc(s2)NC(=O)c3ccc(cc3)F)Br,Fc1ccc(cc1)C(=O)Nc1nnc(s1)SCc1ccc(cc1)Br,[7.202],5.418999671936035
179,1228629,c1ccc(cc1)Cc2nnc(s2)NC(=O)c3cccs3,O=C(c1cccs1)Nc1nnc(s1)Cc1ccccc1,[7.12],3.6050002574920654
